player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,marketvalue,g/a
Idrissa Gueye,25,1896,4,0,8,0,1.0,85.6,0.6,1,6.83,Non Big 6,Central Midfield,34,3000000,4
Lewis Cook,33,2792,0,3,5,1,0.4,81.2,1.3,2,6.83,Non Big 6,Central Midfield,27,12000000,3
Martin Dúbravka,23,1984,0,0,1,0,0.0,74.9,0.2,2,6.83,Non Big 6,Goalkeeper,35,1000000,0
Alfie Doughty,37,2938,2,8,5,0,0.7,75.2,0.6,2,6.83,Non Big 6,Wing Forward,24,10000000,10
Leandro Trossard,34,1647,12,1,2,0,1.8,78.7,0.2,1,6.82,Big 6,Wing Forward,29,35000000,13
Jefferson Lerma,28,2404,1,1,8,0,1.2,82.4,2.5,1,6.82,Non Big 6,Defensive Midfield,29,20000000,2
Levi Colwill,23,1800,1,1,2,0,0.5,83.4,1.9,2,6.82,Big 6,Centre-Back,21,50000000,2
Mark Travers,4,360,0,0,0,0,0.0,51.4,0.5,0,6.82,Non Big 6,Goalkeeper,25,3500000,0
Marc Cucurella,21,1786,0,2,10,0,0.4,86.7,1.2,0,6.81,Big 6,Wing Back,25,25000000,2
Dominik Szoboszlai,33,2110,3,2,1,0,1.8,87.3,0.4,1,6.81,Big 6,Central Midfield,23,75000000,5
Oleksandr Zinchenko,27,1727,1,2,2,0,0.6,89.4,1.0,3,6.81,Big 6,Wing Back,27,38000000,3
Raheem Sterling,31,1983,8,4,7,0,1.6,79.3,0.1,2,6.8,Big 6,Wing Forward,29,35000000,12
Tosin Adarabioyo,20,1617,2,0,2,0,0.7,84.7,2.9,0,6.8,Non Big 6,Centre-Back,26,20000000,2
Kobbie Mainoo,24,1942,3,1,3,0,0.5,86.7,0.8,0,6.8,Big 6,Central Midfield,19,50000000,4
Matheus Nunes,2,180,0,0,0,1,0.5,84.0,1.0,0,6.8,Non Big 6,Central Midfield,25,50000000,0
Marcos Senesi,31,2248,4,5,13,0,0.4,78.5,1.3,1,6.8,Non Big 6,Centre-Back,27,22000000,9
Christian Nørgaard,31,2513,2,1,8,0,1.1,81.2,1.3,1,6.8,Non Big 6,Defensive Midfield,30,18000000,3
Caoimhín Kelleher,10,900,0,0,0,0,0.0,79.3,0.4,0,6.8,Big 6,Goalkeeper,25,20000000,0
Boubacar Kamara,20,1662,0,1,7,1,0.3,89.3,1.0,0,6.79,Non Big 6,Defensive Midfield,24,38000000,1
Micky van de Ven,27,2344,3,0,5,0,0.3,94.3,1.4,1,6.79,Big 6,Centre-Back,23,55000000,3
Rodrigo Muniz,26,1598,9,1,1,0,2.8,62.1,2.9,2,6.79,Non Big 6,Centre-Forward,23,20000000,10
Callum Hudson-Odoi,29,1856,8,1,0,0,1.3,85.3,0.1,3,6.79,Non Big 6,Wing Forward,23,18000000,9
Dominic Calvert-Lewin,32,2189,7,2,2,0,2.3,56.9,4.4,2,6.79,Non Big 6,Centre-Forward,27,22000000,9
Manuel Akanji,30,2514,2,0,2,1,0.5,93.8,0.9,0,6.78,Big 6,Centre-Back,28,45000000,2
Carlton Morris,38,2867,11,4,4,0,1.9,66.8,3.5,1,6.78,Non Big 6,Centre-Forward,28,13000000,15
