player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,league,MarketValue,Height
Maximilian Beier,29,2434.0,16,1,0,0,2.5,73.5,0.6,2,6.98,Hoffenheim,AM(LR),21,German Bundesliga,24,185
Ademola Lookman,21,1847.0,10,6,4,0,2.2,80.9,0.6,5,6.98,Atalanta,AM(CLR),26,Italian Serie A,30,174
Victor Osimhen,22,1990.0,15,3,4,1,3.6,71.0,1.5,2,6.98,Napoli,FW,25,Italian Serie A,110,186
Federico Chiesa,25,2207.0,9,2,1,0,2.3,77.3,0.0,2,6.98,Juventus,M(CLR),26,Italian Serie A,40,175
Álex Baena,33,2599.0,2,14,11,1,2.1,78.5,0.2,2,6.97,Villarreal,AM(CL),22,Spanish La Liga,25,174
Dwight McNeil,33,2900.0,3,6,2,0,1.6,78.3,0.5,3,6.97,Everton,M(CLR),24,Other,22,183
Gianluca Scamacca,17,1425.0,12,6,1,0,2.1,69.0,0.8,3,6.97,Atalanta,FW,25,Italian Serie A,25,195
Leon Bailey,22,2080.0,10,9,5,0,1.5,78.2,0.4,3,6.96,Aston Villa,M(CLR),26,English Premier League,42,178
Jonathan Tah,30,2633.0,4,1,6,0,0.8,94.7,2.0,0,6.96,Leverkusen,D(C),28,Other,30,195
Dejan Kulusevski,31,2767.0,8,3,7,0,1.6,81.9,0.2,3,6.96,Tottenham,AM(CR),24,English Premier League,55,186
Diogo Dalot,35,3174.0,2,3,4,1,0.8,83.8,0.9,1,6.96,Man Utd,D(LR),25,English Premier League,35,184
Douglas Luiz,35,3003.0,9,5,12,0,1.4,89.4,0.7,3,6.95,Aston Villa,M(C),26,English Premier League,70,177
João Pedro,19,2046.0,9,3,2,0,2.4,82.7,1.3,3,6.93,Brighton,AM(CL),22,English Premier League,45,182
Ben White,35,2995.0,4,4,8,0,0.4,86.7,1.0,0,6.93,Arsenal,D(CR),26,English Premier League,55,186
Lorenzo Pellegrini,20,1867.0,8,3,7,0,1.6,82.6,0.4,2,6.93,Roma,M(CL),27,Italian Serie A,25,186
Xaver Schlager,29,2482.0,0,5,7,0,0.7,88.9,0.8,0,6.93,RBL,M(C),26,Spanish La Liga,28,174
Éderson,31,2785.0,6,1,8,0,1.1,84.3,1.0,1,6.92,Atalanta,M(C),24,Italian Serie A,30,183
Antonee Robinson,37,3269.0,0,6,6,0,0.4,75.9,1.1,1,6.92,Fulham,D(L),26,English Premier League,25,183
Giorgio Scalvini,30,2472.0,0,3,3,0,0.6,81.9,2.5,0,6.92,Atalanta,D(C),20,Italian Serie A,45,194
Odilon Kossounou,21,1813.0,1,0,3,0,0.2,89.1,1.0,0,6.92,Leverkusen,D(CR),23,Other,35,191
