player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,age,PosisiPemain,HargaPasar
Dara O'Shea,33,2895,3,4,5,1,0.6,79.7,3.8,0,6.66,Burnley,25,Centre-Back,€7.00m  
Lukasz Fabianski,10,721,0,0,0,0,0.0,60.3,0.2,0,6.64,West Ham,39,Goalkeeper,€700k  
Ezri Konsa,35,3074,1,0,5,0,0.5,92.2,0.9,0,6.64,Aston Villa,26,Centre-Back,€35.00m  
Mateo Kovacic,30,1549,1,0,4,0,0.7,94.1,0.1,0,6.63,Man City,30,Central Midfield,€30.00m  
Jack Hinshelwood,12,871,3,0,1,0,1.2,84.4,0.6,1,6.63,Brighton,19,Defensive Midfield,€16.00m  
Abdoulaye Doucouré,32,2643,7,2,7,0,1.5,78.5,0.8,0,6.63,Everton,31,Central Midfield,€10.00m  
Ederson,33,2789,0,0,5,0,0.0,85.9,0.3,0,6.63,Man City,30,Goalkeeper,€35.00m  
Timothy Castagne,34,2634,1,3,3,0,0.4,81.3,1.0,0,6.63,Fulham,28,Right-Back,€17.00m  
Youri Tielemans,32,1622,2,6,3,0,0.4,86.0,0.4,1,6.63,Aston Villa,27,Central Midfield,€25.00m  
Ben Davies,17,1086,1,0,2,0,0.7,91.3,1.7,0,6.62,Tottenham,31,Left-Back,€10.00m  
Wilson Odobert,29,2109,3,2,3,0,1.7,79.4,0.3,0,6.62,Burnley,19,Left Winger,€10.00m  
Wilson Odobert,29,2109,3,2,3,0,1.7,79.4,0.3,0,6.62,Burnley,19,Left Winger,€10.00m  
Djordje Petrovic,23,1986,0,0,2,0,0.0,76.4,0.3,0,6.62,Chelsea,24,Goalkeeper,€20.00m  
Anthony Elanga,36,2434,5,9,1,0,1.5,75.3,0.5,1,6.62,Nottingham Forest,22,Left Winger,€22.00m  
Harvey Barnes,21,795,5,3,2,0,1.3,79.1,0.2,0,6.61,Newcastle,26,Left Winger,€35.00m  
Gabriel Osho,21,1848,2,0,3,0,0.5,82.5,1.8,0,6.61,Luton,25,Centre-Back,€3.00m  
Kristoffer Ajer,28,1836,2,1,5,0,0.4,75.9,2.3,0,6.61,Brentford,26,Centre-Back,€15.00m  
Kristoffer Ajer,28,1836,2,1,5,0,0.4,75.9,2.3,0,6.61,Brentford,26,Centre-Back,€15.00m  
Josh Brownhill,33,2253,4,2,4,1,0.8,80.3,1.1,1,6.61,Burnley,28,Central Midfield,€15.00m  
Nicolás Domínguez,26,1505,2,2,4,0,0.8,85.4,0.8,1,6.61,Nottingham Forest,25,Central Midfield,€17.00m  
Elijah Adebayo,27,1419,10,0,1,0,1.1,72.6,1.6,1,6.59,Luton,26,Centre-Forward,€12.00m  
Axel Disasi,31,2581,2,0,6,0,0.5,90.6,2.4,1,6.58,Chelsea,26,Centre-Back,€40.00m  
Vladimír Coufal,36,3140,0,7,5,1,0.2,73.0,1.1,0,6.58,West Ham,31,Right-Back,€8.00m  
Taiwo Awoniyi,20,1047,6,3,2,0,1.1,73.8,1.1,0,6.58,Nottingham Forest,26,Centre-Forward,€28.00m  
Sander Berge,37,3009,1,2,8,1,0.7,88.8,1.8,1,6.58,Burnley,26,Defensive Midfield,€20.00m  
Gustavo Hamer,36,2924,4,6,9,0,1.4,73.5,0.2,0,6.58,Sheff Utd,26,Central Midfield,€15.00m  
Danny Welbeck,29,1707,5,1,4,0,1.4,83.2,0.6,0,6.58,Brighton,33,Centre-Forward,€5.00m  
Justin Kluivert,32,1937,7,1,5,0,1.8,72.4,0.4,0,6.55,Bournemouth,25,Left Winger,€14.00m  
Danilo,29,1801,2,2,4,0,0.8,80.6,0.5,0,6.55,Nottingham Forest,23,Central Midfield,€28.00m  
Lewis Hall,18,777,1,0,2,0,0.6,83.1,0.6,0,6.55,Newcastle,19,Left-Back,€18.00m  
Ben Mee,16,1276,2,0,1,1,0.6,76.4,2.2,0,6.54,Brentford,34,Centre-Back,€1.00m  
Ben Mee,16,1276,2,0,1,1,0.6,76.4,2.2,0,6.54,Brentford,34,Centre-Back,€1.00m  
Antony,29,1324,1,1,5,0,1.5,80.0,0.1,1,6.54,Man Utd,24,Right Winger,€25.00m  
Tyler Adams,3,118,0,0,0,0,0.0,84.1,0.7,1,6.54,Bournemouth,25,Defensive Midfield,€15.00m  
Tyler Adams,3,118,0,0,0,0,0.0,84.1,0.7,1,6.54,Bournemouth,25,Defensive Midfield,€15.00m  
David Raya,32,2880,0,0,2,0,0.0,70.8,0.2,0,6.54,Arsenal,28,Goalkeeper,€35.00m  
Rico Lewis,16,808,2,0,1,0,0.3,91.0,0.0,0,6.54,Man City,19,Right-Back,€38.00m  
Eddie Nketiah,27,1073,5,2,3,0,1.4,79.9,0.9,1,6.53,Arsenal,25,Centre-Forward,€30.00m  
Sandro Tonali,8,439,1,0,2,0,0.4,88.0,0.1,0,6.53,Newcastle,24,Defensive Midfield,€38.00m  
Oliver Arblaster,12,946,0,0,2,0,0.1,81.5,0.8,0,6.53,Sheff Utd,20,Central Midfield,€450k  
Will Hughes,30,1899,0,1,6,0,0.3,85.1,0.4,0,6.53,Crystal Palace,29,Central Midfield,€9.00m  
Harry Wilson,35,1616,4,6,6,0,1.1,79.2,0.1,2,6.52,Fulham,27,Right Winger,€17.00m  
Tom Cairney,34,1480,1,4,3,0,0.5,90.3,0.4,0,6.52,Fulham,33,Central Midfield,€2.00m  
Nathaniel Clyne,19,1339,0,0,0,0,0.2,84.2,0.7,0,6.52,Crystal Palace,33,Right-Back,€1.50m  
Zanka,14,1087,1,0,4,0,0.6,75.4,1.9,0,6.52,Brentford,34,Centre-Back,€1.00m  
Kurt Zouma,33,2841,3,0,3,0,0.5,83.9,1.8,1,6.52,West Ham,29,Centre-Back,€25.00m  
